,-4,-2,0,2,4,6,8,10,
0,29.86666666666667,45.33333333333333,76.13333333333333,96.26666666666667,99.06666666666666,99.6,99.6,99.6,99.6
1,35.6,48.93333333333334,68.4,89.46666666666667,98.0,99.33333333333333,99.46666666666667,99.33333333333333,99.46666666666667
2,27.333333333333332,38.53333333333334,64.0,87.86666666666667,97.73333333333333,99.2,99.33333333333333,99.6,99.6
3,29.86666666666667,55.2,82.8,94.66666666666667,98.53333333333333,99.6,99.6,99.6,99.6
4,22.133333333333333,42.13333333333333,78.8,96.0,98.66666666666667,99.33333333333333,99.33333333333333,99.46666666666667,99.46666666666667
5,27.333333333333332,55.60000000000001,87.33333333333333,96.93333333333334,99.06666666666666,99.46666666666667,99.6,99.6,99.6
6,34.8,54.0,83.86666666666667,95.73333333333333,98.53333333333333,99.06666666666666,99.46666666666667,99.46666666666667,99.46666666666667
7,22.26666666666667,36.93333333333334,59.73333333333334,87.06666666666666,96.53333333333333,98.4,99.33333333333333,99.6,99.6
8,10.0,13.333333333333334,19.466666666666665,31.866666666666667,49.2,60.93333333333333,65.86666666666666,69.33333333333334,66.8
9,9.2,12.8,18.53333333333333,27.866666666666667,48.0,59.199999999999996,65.33333333333333,67.86666666666666,67.60000000000001
