,-4,-2,0,2,4,6,8,10,Unnamed: 9,exp,model
0,35.466667,57.600000,76.400000,93.200000,98.666667,99.466667,99.200000,99.466667,99.600000,1980,One-shot
1,38.666667,52.533333,67.333333,89.600000,97.866667,99.066667,99.066667,99.200000,98.533333,1980,One-shot
2,33.466667,43.466667,60.933333,92.133333,98.666667,99.600000,99.600000,99.600000,99.466667,1980,One-shot
3,36.266667,50.666667,65.600000,84.400000,93.600000,98.400000,99.333333,99.466667,99.466667,1980,One-shot
4,27.733333,44.933333,71.600000,91.200000,98.800000,99.466667,99.466667,99.466667,99.466667,1980,One-shot
5,32.266667,48.933333,71.466667,96.000000,98.933333,99.600000,99.333333,99.466667,99.600000,1980,One-shot
6,32.000000,46.400000,68.000000,93.866667,98.933333,99.466667,99.333333,99.333333,99.600000,1980,One-shot
7,22.800000,34.933333,70.133333,92.133333,98.666667,99.466667,99.600000,99.600000,99.733333,1980,One-shot
8,38.000000,48.400000,65.066667,79.866667,93.600000,98.000000,98.533333,98.933333,99.333333,1980,One-shot
9,39.066667,47.466667,58.666667,74.933333,90.400000,97.733333,98.533333,98.800000,99.200000,1980,One-shot
0,33.733333,57.600000,76.666667,94.000000,98.933333,99.600000,99.466667,99.733333,99.733333,6000,One-shot
1,34.533333,58.666667,82.533333,98.133333,99.600000,99.733333,99.466667,99.733333,99.733333,6000,One-shot
2,36.666667,62.133333,91.200000,98.800000,99.600000,99.600000,99.600000,99.733333,99.733333,6000,One-shot
3,28.000000,52.800000,80.400000,96.933333,99.466667,99.600000,99.733333,99.733333,99.733333,6000,One-shot
4,21.466667,39.066667,58.400000,75.066667,91.200000,98.133333,99.066667,98.933333,99.333333,6000,One-shot
5,22.400000,40.533333,62.133333,80.933333,95.733333,99.200000,99.466667,99.600000,99.600000,6000,One-shot
6,46.533333,64.800000,84.266667,97.733333,99.333333,99.333333,99.466667,99.600000,99.733333,6000,One-shot
7,35.200000,64.533333,81.200000,96.800000,99.466667,99.733333,99.600000,99.733333,99.600000,6000,One-shot
8,35.066667,48.266667,73.066667,93.066667,99.333333,99.466667,99.733333,99.733333,99.733333,6000,One-shot
9,29.066667,64.666667,85.866667,96.933333,99.333333,99.733333,99.733333,99.600000,99.600000,6000,One-shot
0,35.466667,58.000000,76.400000,93.866667,98.533333,99.466667,99.200000,99.466667,99.600000,1980,Five-shot
1,38.400000,52.400000,67.600000,89.466667,97.866667,99.066667,99.333333,99.200000,98.933333,1980,Five-shot
2,33.733333,43.466667,60.800000,92.000000,98.666667,99.600000,99.600000,99.600000,99.466667,1980,Five-shot
3,36.533333,51.200000,65.733333,84.133333,93.600000,98.400000,99.200000,99.466667,99.600000,1980,Five-shot
4,27.733333,45.066667,71.600000,90.933333,98.800000,99.466667,99.466667,99.466667,99.466667,1980,Five-shot
5,32.000000,48.933333,71.066667,95.866667,98.933333,99.600000,99.333333,99.466667,99.600000,1980,Five-shot
6,31.866667,46.533333,67.600000,93.866667,98.800000,99.466667,99.333333,99.333333,99.600000,1980,Five-shot
7,22.666667,34.933333,70.133333,92.133333,98.666667,99.466667,99.600000,99.600000,99.733333,1980,Five-shot
8,37.866667,48.400000,65.066667,79.733333,93.600000,98.000000,98.666667,99.066667,99.200000,1980,Five-shot
9,38.933333,47.466667,58.400000,74.266667,90.400000,97.600000,98.533333,98.933333,99.200000,1980,Five-shot
0,34.133333,58.000000,76.533333,94.400000,98.933333,99.600000,99.466667,99.733333,99.733333,6000,Five-shot
1,34.400000,58.666667,82.800000,97.866667,99.600000,99.733333,99.600000,99.600000,99.733333,6000,Five-shot
