model,exp,-4,-2,0,2,4,6,8,10,Unnamed: 9
Five-shot,1980,33.52,47.64,67.44,88.63,96.79,99.01,99.23,99.36,99.44
Five-shot,6000,32.31,55.29,77.68,92.84,98.17,99.44,99.56,99.61,99.64
Five-shot-prob,1980,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Five-shot-prob,6000,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
One-shot,1980,33.57,47.53,67.52,88.73,96.81,99.03,99.20,99.33,99.40
One-shot,6000,32.27,55.31,77.57,92.84,98.20,99.41,99.53,99.61,99.65
WDCNN,1980,24.49,36.12,51.59,72.52,84.56,91.69,95.20,96.01,96.24
WDCNN,6000,44.00,68.09,88.73,95.96,98.64,99.08,99.23,99.27,99.24
