,-4,-2,0,2,4,6,8,10,Unnamed: 9,exp
0,35.466667,58.000000,76.400000,93.866667,98.533333,99.466667,99.200000,99.466667,99.600000,1980
1,38.400000,52.400000,67.600000,89.466667,97.866667,99.066667,99.333333,99.200000,98.933333,1980
2,33.733333,43.466667,60.800000,92.000000,98.666667,99.600000,99.600000,99.600000,99.466667,1980
3,36.533333,51.200000,65.733333,84.133333,93.600000,98.400000,99.200000,99.466667,99.600000,1980
4,27.733333,45.066667,71.600000,90.933333,98.800000,99.466667,99.466667,99.466667,99.466667,1980
5,32.000000,48.933333,71.066667,95.866667,98.933333,99.600000,99.333333,99.466667,99.600000,1980
6,31.866667,46.533333,67.600000,93.866667,98.800000,99.466667,99.333333,99.333333,99.600000,1980
7,22.666667,34.933333,70.133333,92.133333,98.666667,99.466667,99.600000,99.600000,99.733333,1980
8,37.866667,48.400000,65.066667,79.733333,93.600000,98.000000,98.666667,99.066667,99.200000,1980
9,38.933333,47.466667,58.400000,74.266667,90.400000,97.600000,98.533333,98.933333,99.200000,1980
0,34.133333,58.000000,76.533333,94.400000,98.933333,99.600000,99.466667,99.733333,99.733333,6000
1,34.400000,58.666667,82.800000,97.866667,99.600000,99.733333,99.600000,99.600000,99.733333,6000
2,36.533333,62.000000,91.333333,99.066667,99.333333,99.733333,99.600000,99.733333,99.600000,6000
3,28.266667,52.666667,80.266667,97.066667,99.466667,99.600000,99.733333,99.733333,99.733333,6000
4,21.600000,39.200000,59.200000,74.533333,90.933333,98.266667,99.066667,98.933333,99.333333,6000
5,22.400000,40.133333,61.866667,80.666667,96.133333,99.200000,99.466667,99.600000,99.600000,6000
6,46.533333,64.933333,84.666667,97.733333,99.200000,99.333333,99.466667,99.733333,99.733333,6000
7,35.066667,64.266667,81.600000,97.066667,99.466667,99.733333,99.733333,99.733333,99.600000,6000
8,34.933333,48.400000,72.666667,93.066667,99.333333,99.466667,99.733333,99.733333,99.733333,6000
9,29.200000,64.666667,85.866667,96.933333,99.333333,99.733333,99.733333,99.600000,99.600000,6000
